Date,Aeroporto Santos Dumont,Afonso deTaunay,Afrânio,Albamar,Alegrete,Alfa Barra,Almirante Barroso,Anchieta,Antero de Quental,Aníbal de Mendonça,AquaRio,Artur Bernardes,Assunção,Athaydeville,BLV. 28 de Setembro 157,BLV. 28 de Setembro 341,BRT Bosque da Barra,BRT Lourenço Jorge,BRT Salvador Allende,Bairro Peixoto,Bairro de Fátima,Baixo Gávea,Barra Business Center,Barra Garden,Barra Summer Dream,Barra World,Belisário Leite,Beneficência Portuguesa,Borges de Medeiros,Bosque da Barra,Bossa Nova Mall,Buenos Aires,Buraco do Lume,Caiçaras,Cantagalo,Cardeal Arcoverde,Central do Brasil,Centro Administrativo,Churchil,Cine Leblon,Cine Roxy,Cinelândia,Circo Voador,Cobal,Colégio Militar,Condessa Paulo de Frontin,Conselheiro Lafaiete,Constante Ramos,Copacabana Palace,Dias Ferreira,Dias da Rocha,Dulcídio Cardoso 3080,Edifício Argentina,Epitácio Pessoa,Epitácio Pessoa 4224,Epitácio Pessoa 4794,Esplanada da Barra,Estação de Bondes,Estácio,Estádio Célio de Barros,Fashion Mall,Fernandes Guimarães,Ferreira Viana,Furnas,Fórum,Fórum da Barra,Gaffrée e Guinle,Garcia D´Ávila,Gastão Sengés,Genaro de Carvalho,General Ivan Raposo,General Osório,General Polidoro,General Urquiza,Gláucio Gil,Gláucio Gil Praia,Golden Green,Gomes Freire,Grande Canal,Guanabara,Guilhermina Guinle,Hospital Lourenço Jorge,Hotel Glória,Humaitá,IED Urca,Iate Clube,Jardim Botânico,Jardim de Alah,Joaquim Nabuco,José Linhares,La Place,Lagoa - Vasco da Gama,Largo da Carioca,Largo da Glória,Largo da Memória,Largo da Segunda Feira,Largo de São Francisco,Largo do Machado,Lauro Muller,Lavradio,Leila Diniz,Leopoldina,Lúcio Costa 17194,Lúcio Costa 3646,Lúcio Costa 4500,Lúcio Costa 5750,Lúcio Costa 6200,MAM,MAR,Maison de France,Mandala,Maracanãzinho,Maria Angelica,Maria Quitéria,Marquês de Abrantes,Mata Machado,Maxwell,Menezes Cortes,Metrô Afonso Pena,Metrô Botafogo,Metrô Cidade Nova,Metrô Flamengo,Metrô Saens Peña,Metrô São Francisco Xavier,Metrô Uruguai,Metrô Uruguaiana,Miguel Lemos,Ministro Afrânio Costa,Morais e Silva,Mourisco Mar,Muniz Barreto,Museu do Amanhã,NYC Center,Oi Futuro,Olegário Maciel,Olyntho Pillar,Oswaldo Cruz,Pacheco Leão,Pacheco Leão - Horto,Palácio Guanabara,Palácio do Catete,Parada dos Navios,Parque Chico Mendes,Parque Guinle,Parque Lage,Parque Madureira I,Parque Madureira II,Parque Madureira III,Parque Madureira IV,Parque Madureira V,Parque Marapendi,Parque da Catacumba,Parque das Figueiras,Parque dos Patins,Pedra do Arpoador,Pedra do Leme,Península 1,Península 2,Pereira da Silva,Pinheiro Guimarães,Pomar da Barra,Posto 6,Posto 9,Posto 9 Barra,Praca Tiradentes,Praca da República,Praia do Pepê,Praça Cazuza,Praça Joia Valansi,Praça Lamartine Babo,Praça Luís de Camões,Praça Miguel Osório,Praça Nicarágua,Praça Niterói,Praça Pimentinha,Praça Pio X,Praça Procópio Ferreira,Praça Sibélius,Praça São Conrado,Praça São Judas Tadeu,Praça São Salvador,Praça Varnhagem,Praça XV,Praça Xavier de Brito,Praça da Bandeira,Praça da Cruz Vermelha,Praça da Medalha Milagrosa,Praça do Lido,Praça do Ó,Princesa Isabel,Professor Souza Araújo,Pão de Açucar,Quebra Mar,Quitanda,Radisson,Real Grandeza,Relação,Rio Sul,Rosário,Rua da Passagem,Rua do Catete,SESC Tijuca,Saint Tropez,Sala Cecília Meireles,Santa Clara,Santa Clara 98,Santa Marta,Santana,Sebastião Lacerda,Selva de Pedra,Serzedelo Correa,Shopping Tijuca,Shopping da Gávea,Siqueira Campos,Sorocaba,Souza Lima,Sá Ferreira,São Clemente,São Conrado,TRT Lavradio,Tamoios,Teresa Guimarães,Terminal PUC,Toneleros,Túnel Novo,Túnel Velho,UERJ,UFRJ Praia Vermelha,UNIRIO,Utopia,Veiga de Almeida,Vinícius de Moraes,Visconde de Albuquerque,Visconde de Caravelas,Viúva Lacerda,Voluntários da Pátria,Windsor Barra,Zoila de Abreu
2017-10-08 20:05:39,3,1,5,2,1,5,0,4,0,0,1,2,2,1,0,1,1,0,5,2,1,0,2,3,2,2,1,0,0,2,1,3,1,0,0,6,1,2,0,3,1,5,0,0,1,2,5,10,12,1,0,4,1,1,2,3,1,0,1,4,4,4,7,1,0,2,1,3,5,3,6,3,2,3,6,1,7,1,3,1,0,6,4,2,5,0,0,6,1,6,1,1,1,1,1,2,0,3,1,0,0,0,3,2,-5,3,3,2,0,0,4,1,0,2,1,4,5,0,3,2,1,1,1,0,1,1,5,3,3,2,4,4,5,-5,3,1,6,0,4,0,0,0,0,2,0,0,1,2,1,1,0,4,5,4,2,0,3,-5,1,0,1,4,0,4,1,2,3,1,3,2,4,3,0,5,6,1,0,2,7,1,0,1,4,-5,2,3,3,2,1,10,2,0,5,0,4,0,0,5,0,0,3,3,3,1,6,6,4,1,9,0,5,7,0,3,0,2,0,0,2,1,6,0,2,1,0,2,6,1,2,0,4,0,5,1,3,0,3,2
2017-10-08 20:07:39,3,1,5,2,1,5,0,4,0,0,1,2,2,1,0,1,1,0,5,2,1,0,2,3,2,2,1,0,0,2,1,3,1,0,0,6,1,2,0,3,1,5,0,0,1,2,5,10,12,1,0,4,1,1,2,3,2,0,1,4,4,4,7,1,0,2,1,3,5,3,6,3,2,3,6,1,6,1,3,1,0,6,4,2,5,0,0,6,1,6,1,1,1,1,1,2,0,3,1,0,0,0,3,2,-5,3,3,2,0,0,4,1,0,2,1,4,5,0,3,2,1,1,1,0,1,1,5,3,3,2,5,4,6,-5,3,1,6,0,4,0,0,0,0,2,0,0,1,2,1,0,0,3,5,3,2,0,3,-5,0,0,1,4,0,4,1,2,3,0,3,2,4,3,0,5,6,1,0,2,7,3,0,1,4,-5,2,3,3,2,1,10,2,0,5,0,5,0,0,5,0,0,3,3,3,1,6,6,3,2,9,0,5,6,0,3,0,2,0,0,2,1,6,0,2,1,0,2,6,1,2,0,4,0,5,1,3,0,3,2
2017-10-08 20:09:39,3,1,5,2,1,5,0,4,0,0,1,2,2,1,0,1,1,0,5,2,1,0,2,3,2,2,1,0,0,2,1,3,1,0,0,6,1,2,0,3,1,5,0,0,1,2,5,10,12,1,0,4,1,1,2,5,2,0,1,4,4,4,7,1,0,2,1,2,5,3,6,3,2,3,5,1,5,1,3,1,0,6,4,2,5,0,0,5,1,6,1,1,1,1,1,2,0,3,1,0,0,0,3,2,-5,3,3,2,0,0,4,1,0,2,1,4,5,0,3,2,1,1,1,0,1,1,5,3,3,2,5,4,6,-5,3,1,6,0,4,0,0,0,0,2,0,0,1,2,0,1,0,3,5,4,2,0,3,-5,1,0,1,4,0,4,1,2,3,0,3,2,4,3,0,5,6,1,1,2,7,3,1,1,4,-5,2,3,3,2,1,10,2,0,5,0,5,0,0,5,0,0,3,3,3,1,6,6,3,2,9,0,5,7,0,3,0,2,0,0,2,1,6,0,2,1,0,2,6,1,2,0,4,0,5,1,3,0,3,2
2017-10-08 20:11:39,-5,1,5,2,1,5,0,4,0,0,1,2,2,1,0,1,1,0,5,2,1,0,2,3,2,2,1,0,0,2,1,3,1,0,0,6,1,2,0,3,0,5,0,0,1,2,5,10,12,1,0,4,1,1,2,5,2,0,1,4,4,4,7,1,0,2,1,2,5,3,6,2,2,3,6,1,6,1,3,1,0,6,4,2,5,0,0,6,1,6,1,1,1,1,1,2,0,3,1,0,0,0,3,2,-5,3,3,2,0,0,4,1,0,2,1,4,5,0,3,2,1,1,1,0,1,1,5,3,3,2,5,4,5,-5,3,1,6,0,4,0,0,0,0,1,0,0,1,2,0,0,0,3,5,4,2,0,3,-5,1,0,1,4,0,4,1,2,3,0,3,2,4,3,0,5,6,1,1,2,6,3,1,1,3,-5,2,2,3,2,1,10,2,0,5,0,5,0,0,5,0,0,3,3,3,1,6,6,4,2,9,0,5,7,0,3,0,-5,0,0,2,1,6,0,2,1,0,2,6,1,2,0,4,0,5,1,3,0,3,2
2017-10-08 20:13:39,-5,1,5,2,1,5,0,4,0,0,1,2,2,1,0,1,1,0,5,2,1,0,2,3,2,2,1,0,0,2,1,3,1,1,1,6,1,2,0,3,0,5,0,0,1,2,5,10,12,1,0,4,1,1,2,5,2,0,1,4,4,4,7,1,0,2,1,2,5,3,6,2,2,3,6,0,7,1,3,1,0,6,4,2,5,0,0,7,1,6,1,1,1,1,1,2,0,3,1,0,0,0,3,2,-5,3,3,2,0,0,4,-5,0,2,1,3,5,0,3,2,1,1,1,0,1,1,5,3,3,2,5,4,5,-5,3,1,6,0,4,0,0,0,0,0,0,0,1,2,0,0,0,3,5,3,2,1,3,-5,1,0,1,4,0,4,1,2,3,0,3,2,4,3,0,5,6,1,1,2,7,3,1,1,3,-5,2,2,3,2,1,10,2,0,5,0,5,0,0,5,0,3,3,3,3,1,6,6,4,2,9,0,5,7,0,4,0,2,0,0,2,1,6,0,2,1,0,2,6,1,2,0,4,0,5,1,3,0,3,1
2017-10-08 20:15:39,-5,1,5,2,1,5,0,4,0,0,1,2,2,1,0,1,1,0,5,2,1,0,2,3,2,2,1,0,0,2,1,3,1,0,1,6,1,2,0,3,0,5,0,0,1,2,5,10,12,1,0,4,1,1,2,5,1,0,1,4,4,4,7,2,0,2,1,2,5,3,6,2,2,3,5,0,7,1,3,1,0,6,4,2,5,0,0,7,1,6,1,1,1,1,1,1,0,4,1,0,0,0,3,2,2,3,3,2,0,0,4,-5,0,2,1,3,5,0,3,2,1,1,1,0,1,1,9,3,3,2,5,4,6,2,3,1,6,0,4,0,0,0,0,0,0,0,1,2,0,0,0,3,5,2,2,1,3,-5,1,0,4,4,0,4,1,2,3,1,3,2,5,3,0,5,6,1,1,2,7,3,1,1,4,-5,2,2,3,2,1,10,2,0,5,0,5,0,0,5,0,2,3,3,3,1,6,6,3,2,9,0,5,7,0,4,0,0,0,0,2,1,6,0,2,1,0,2,6,1,2,0,4,0,5,1,3,0,3,1
2017-10-08 20:17:39,3,1,5,2,1,5,0,4,0,0,1,2,2,1,0,1,1,0,5,2,1,0,2,3,2,2,1,0,0,2,1,3,1,1,1,6,1,2,0,3,0,5,0,0,1,2,5,9,11,1,0,4,1,1,2,5,1,0,1,4,4,4,7,2,0,2,1,2,5,3,6,2,2,3,6,0,7,1,3,1,0,6,4,2,5,0,0,7,1,6,1,1,1,1,1,1,0,4,1,0,0,0,3,2,2,3,3,2,0,0,4,-5,0,2,1,3,5,0,3,2,1,1,1,0,1,1,9,3,3,2,5,5,6,2,3,1,6,0,4,0,0,0,0,0,0,0,1,2,0,0,0,3,5,4,2,1,3,-5,1,0,5,4,0,4,1,2,3,1,3,2,5,3,0,5,6,1,1,2,8,3,1,1,4,-5,2,2,3,2,1,10,2,0,5,0,5,0,0,5,0,2,3,4,3,1,8,6,3,2,9,0,5,7,0,4,0,1,0,0,2,1,6,0,2,1,0,2,6,1,2,0,4,0,5,1,3,0,3,1
2017-10-08 20:19:39,3,1,5,2,2,5,0,4,0,0,1,2,2,1,0,1,1,0,5,2,1,0,2,3,2,2,1,0,0,2,1,3,1,0,2,6,1,2,0,3,0,5,0,0,1,2,5,9,10,1,0,4,1,1,2,5,2,0,1,4,4,4,7,2,0,2,1,2,5,3,6,1,2,3,6,0,6,1,3,1,0,6,4,2,5,0,0,7,1,6,1,1,1,2,1,1,0,2,1,0,0,0,3,2,2,3,3,2,0,0,4,-5,0,2,1,3,5,0,3,2,1,1,1,0,1,1,9,3,3,2,5,5,6,2,3,1,6,0,4,0,0,0,0,0,0,0,1,2,0,0,0,3,5,4,2,1,3,-5,1,0,5,4,0,4,1,2,3,1,3,2,5,3,0,5,6,1,1,2,6,3,1,1,4,-5,2,2,3,2,1,6,2,0,6,0,5,0,0,5,0,2,3,3,3,1,8,6,3,2,9,0,3,7,0,4,0,1,0,0,2,1,6,0,2,1,0,2,6,1,2,0,4,1,5,1,3,0,3,2
2017-10-08 20:21:39,3,1,5,2,2,5,0,3,0,0,1,2,2,1,0,1,1,0,6,2,1,0,2,3,2,2,1,0,0,2,1,3,1,1,1,6,1,2,0,3,0,5,0,0,1,2,5,9,9,1,0,4,1,1,2,5,2,0,1,4,4,4,7,2,0,2,1,2,5,3,6,1,2,4,6,0,6,1,3,1,0,6,4,2,5,0,0,6,1,6,1,1,1,2,1,1,0,2,1,0,0,0,3,2,2,3,3,2,0,0,4,-5,0,2,0,3,5,0,2,2,1,1,1,0,1,1,9,3,3,2,5,5,5,2,3,1,6,0,4,0,0,0,0,0,0,0,1,2,0,0,0,2,5,4,2,2,3,-5,1,0,5,4,0,5,1,2,3,0,3,2,5,3,0,5,6,1,1,2,6,3,1,1,4,-5,2,2,3,2,4,10,2,0,6,0,5,0,0,5,0,2,3,3,3,1,8,6,3,2,9,0,3,7,0,5,0,1,0,0,2,1,6,0,2,1,0,1,6,1,2,0,4,1,5,1,3,0,3,2
2017-10-08 20:23:39,3,1,5,2,2,5,0,3,1,0,1,2,2,1,0,1,1,0,6,2,1,0,2,3,2,2,1,0,0,2,1,3,1,0,1,6,1,2,0,3,0,5,0,0,1,2,8,9,9,1,0,4,1,1,2,5,2,0,1,4,4,4,7,2,0,2,1,2,5,3,6,1,2,4,5,0,7,1,3,1,0,6,4,2,5,0,0,6,1,6,1,1,1,2,1,1,0,2,1,0,0,0,3,2,2,3,3,2,0,0,4,-5,0,2,0,3,5,0,2,2,1,1,1,0,1,1,10,3,3,2,5,5,6,2,3,1,6,0,4,0,0,0,0,0,0,0,1,2,0,0,0,2,5,4,0,1,3,-5,1,0,5,5,0,5,1,2,3,1,3,2,5,3,0,5,6,1,1,2,6,3,1,1,4,-5,3,2,3,2,4,10,2,0,5,0,5,0,0,5,0,2,3,3,3,1,8,6,4,2,9,0,4,7,0,5,0,1,0,0,1,1,6,0,2,1,0,1,6,3,2,0,4,1,5,1,3,0,3,2
2017-10-08 20:25:39,3,1,5,2,2,5,0,3,1,0,1,2,2,1,0,1,1,0,6,2,1,0,2,3,2,2,1,0,0,2,1,3,1,0,1,6,1,2,0,3,0,5,0,0,1,2,8,9,8,1,0,4,1,1,2,5,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,1,2,4,5,0,7,1,3,1,0,6,4,2,5,0,0,7,1,6,1,1,1,2,1,0,0,2,1,0,0,0,3,2,2,3,3,2,0,0,4,-5,0,2,0,3,5,0,2,2,1,1,1,0,1,1,10,3,3,2,5,4,6,2,3,1,6,0,4,0,0,0,0,0,0,0,1,2,0,0,0,2,5,4,1,1,3,-5,1,0,5,5,0,5,1,2,3,1,2,2,5,3,0,5,6,1,1,2,6,3,1,1,4,-5,3,2,3,2,5,10,2,0,6,0,5,0,0,5,0,2,3,3,3,2,7,6,3,2,9,0,4,7,0,5,0,1,0,0,1,1,6,0,2,1,0,1,6,3,2,0,4,1,5,1,3,0,3,1
2017-10-08 20:27:39,3,1,5,2,2,5,0,3,1,0,1,2,2,1,0,1,1,0,6,2,0,0,2,3,2,2,1,0,0,2,1,3,1,0,1,6,1,2,0,3,0,4,0,0,1,2,8,9,8,1,0,4,1,1,2,5,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,1,2,4,6,0,6,1,3,1,0,6,4,2,5,0,0,7,1,6,1,1,1,2,1,0,0,2,-5,0,0,0,3,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,2,2,1,1,1,0,1,1,10,3,3,2,5,4,6,2,3,1,6,0,4,0,0,0,0,0,0,0,1,1,0,0,0,2,5,4,1,1,3,-5,1,0,5,5,0,5,1,2,3,0,2,2,5,3,0,5,6,1,1,2,7,2,1,1,4,-5,3,2,3,1,5,10,2,0,6,0,5,0,0,5,0,2,3,3,3,2,8,6,3,2,9,0,5,7,0,5,0,1,0,0,1,1,6,0,2,1,0,1,6,3,2,0,4,1,5,1,3,0,3,1
2017-10-08 20:29:39,3,1,5,2,2,5,0,5,1,0,1,2,2,1,0,1,1,0,6,2,0,0,2,3,3,2,1,0,0,2,1,3,1,0,1,6,1,2,0,3,0,4,0,0,1,2,8,9,8,1,0,4,1,1,2,3,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,1,2,4,5,1,7,1,3,1,0,6,4,2,5,0,0,7,1,6,1,1,1,2,1,0,0,2,1,0,0,0,3,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,2,2,1,1,1,0,1,1,10,3,3,2,5,4,6,2,3,1,6,0,4,0,0,0,0,0,0,0,1,1,0,0,0,2,5,4,1,1,3,-5,1,0,5,5,0,5,1,2,3,0,2,2,5,3,0,5,6,1,1,2,6,2,1,1,4,-5,3,2,3,0,6,10,2,0,6,0,5,0,0,5,0,2,3,3,3,2,8,6,3,2,9,0,5,6,0,5,0,1,0,0,1,1,6,0,2,1,0,1,6,3,2,0,4,1,5,1,3,0,3,1
2017-10-08 20:31:39,3,1,5,2,2,5,0,9,1,0,1,2,2,1,0,1,1,0,6,2,0,0,2,3,3,2,1,0,0,2,1,3,1,0,1,6,1,2,0,3,0,4,0,1,1,2,7,9,8,1,0,4,1,1,2,3,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,1,2,4,5,0,6,1,3,1,0,6,4,2,5,0,0,6,1,6,1,1,1,2,1,0,0,2,1,0,0,0,3,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,2,2,1,1,1,0,1,1,9,3,3,2,5,4,7,2,3,1,6,0,4,0,0,0,0,0,0,0,1,2,0,2,0,2,5,4,1,5,3,-5,1,0,5,5,0,5,1,2,3,0,2,2,5,3,0,5,6,1,1,2,6,2,1,1,4,-5,3,2,3,0,6,9,2,0,6,0,5,0,0,5,0,2,3,3,3,2,8,6,3,2,9,0,5,6,0,5,0,1,0,0,1,1,6,0,2,1,0,1,6,3,2,0,4,1,5,1,3,0,3,1
2017-10-08 20:33:39,3,1,5,2,2,5,0,9,1,0,1,2,2,1,0,2,1,0,6,2,0,0,2,3,3,2,1,0,0,2,1,3,1,0,1,-5,1,2,0,3,0,4,0,1,1,2,7,9,8,1,0,4,1,1,2,3,2,0,1,3,4,4,7,2,0,2,1,2,5,1,6,1,2,4,6,1,7,1,3,1,0,6,4,2,5,0,0,7,1,6,1,1,1,2,1,0,0,3,1,0,0,0,2,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,2,2,1,1,1,0,1,1,9,3,3,2,5,4,7,2,3,1,6,0,4,0,0,0,0,0,0,0,1,3,0,2,0,2,5,3,1,5,3,-5,1,0,5,5,0,5,1,2,3,1,2,2,5,3,0,5,6,1,1,2,6,2,1,1,4,-5,3,2,3,0,6,9,2,0,6,0,5,0,0,3,0,2,3,3,3,2,8,6,3,2,9,0,5,6,0,5,0,1,0,0,1,1,6,0,2,1,0,1,6,3,2,0,4,1,5,1,3,0,3,1
2017-10-08 20:35:39,3,1,5,2,2,5,0,9,1,0,1,2,2,1,0,2,1,0,6,2,0,0,2,3,3,2,1,0,0,2,1,3,1,0,1,6,2,2,0,3,0,3,0,1,1,4,7,9,8,1,0,4,1,1,2,3,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,1,2,4,5,0,6,1,3,1,0,6,4,2,5,0,0,7,1,6,1,1,1,2,1,0,0,3,1,0,0,0,2,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,2,2,1,1,1,0,1,1,9,3,3,2,4,4,7,2,3,1,6,0,4,0,0,0,0,0,0,0,1,3,0,2,0,2,5,3,1,6,3,-5,1,0,5,5,0,5,1,2,3,0,2,2,5,3,0,5,6,1,1,2,5,2,1,1,4,-5,3,2,3,0,6,6,2,0,6,0,5,0,0,3,0,2,3,3,3,2,8,6,4,2,8,0,6,6,0,5,0,1,0,0,1,1,6,0,2,1,0,1,6,3,2,0,4,1,5,2,3,0,3,1
2017-10-08 20:37:39,3,1,5,2,2,5,0,9,1,0,1,2,2,1,0,2,1,0,6,2,0,0,2,3,3,2,1,0,0,2,1,3,1,0,1,6,2,2,0,2,0,1,0,1,1,4,7,9,8,1,0,4,1,1,2,3,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,1,1,4,6,0,6,1,3,1,0,6,4,2,4,0,0,7,1,6,1,1,1,1,1,0,0,3,1,0,0,0,2,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,3,2,0,0,1,0,1,1,10,3,3,2,4,4,7,2,3,1,6,0,4,0,0,0,-5,0,0,0,1,3,0,1,0,2,5,3,1,6,3,-5,1,0,5,5,0,5,1,2,3,0,2,2,5,3,0,5,6,1,1,2,5,2,1,1,4,-5,3,2,3,0,6,9,2,0,6,0,5,0,0,3,0,2,3,3,3,2,8,6,3,2,8,0,6,5,0,5,0,1,0,0,2,1,6,0,2,1,0,1,6,3,2,0,4,1,-5,2,3,0,3,1
2017-10-08 20:39:39,3,1,5,2,2,5,0,9,1,0,1,2,2,1,0,2,1,0,6,2,0,0,2,3,3,2,1,0,0,2,1,3,1,0,1,6,2,2,0,2,0,1,0,1,1,4,7,9,8,1,0,4,1,1,2,3,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,1,1,4,5,0,6,1,3,1,0,6,4,2,5,0,0,6,1,6,1,1,1,1,1,0,0,3,1,0,0,0,2,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,3,2,0,0,1,0,1,1,10,3,3,4,3,4,7,3,3,1,6,0,4,0,0,0,-5,0,0,0,1,3,0,3,0,2,5,3,1,6,3,-5,1,0,4,5,0,5,1,2,3,0,2,2,5,3,0,5,6,1,1,2,6,2,1,1,4,-5,3,2,3,0,6,8,2,0,6,0,5,0,0,3,0,2,3,3,3,2,8,6,3,2,8,0,6,5,0,5,0,1,0,0,1,1,6,0,2,1,0,1,6,3,2,0,4,2,-5,1,3,0,3,1
2017-10-08 20:41:39,3,1,5,2,2,5,0,9,1,0,1,2,2,1,0,2,1,0,6,2,0,0,2,3,3,2,1,0,0,2,1,3,1,0,1,5,2,2,0,2,0,2,0,1,1,4,7,9,8,1,0,4,1,1,2,3,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,2,1,4,5,0,7,1,3,1,0,6,4,2,5,0,0,7,1,6,1,1,1,1,1,0,0,3,1,0,0,0,2,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,3,2,0,0,1,0,1,1,10,3,3,6,3,4,6,3,3,1,6,0,4,0,0,0,-5,0,0,0,1,2,0,3,0,2,5,2,1,6,3,-5,2,0,4,4,0,5,1,2,3,0,2,2,5,3,0,5,6,1,1,2,6,2,1,1,4,-5,3,2,3,0,6,8,2,0,6,0,5,0,1,3,0,2,3,3,3,2,8,6,4,2,8,0,6,5,0,5,0,0,0,0,1,1,6,0,2,0,0,1,6,3,2,0,4,1,-5,1,3,0,3,1
2017-10-08 20:43:39,3,1,5,2,2,5,0,9,1,0,1,2,2,1,0,2,1,0,6,2,0,0,2,3,3,2,1,0,0,2,1,3,1,0,1,5,2,2,0,2,0,1,0,1,1,-5,7,8,7,1,0,4,1,1,2,3,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,1,1,4,5,0,7,1,3,1,0,6,4,2,5,0,0,6,1,6,1,1,1,1,1,0,0,3,1,0,0,0,2,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,3,2,0,0,1,0,1,1,10,3,3,6,3,4,6,3,3,1,6,0,4,0,0,0,-5,0,0,0,1,1,0,3,0,1,5,2,1,6,3,-5,1,0,4,4,0,5,1,2,3,1,2,2,5,3,1,5,6,1,1,2,7,2,1,1,4,-5,3,2,3,0,6,8,2,0,6,0,5,0,1,3,0,2,3,3,3,2,8,6,3,1,8,0,6,5,0,5,0,0,0,0,1,1,6,0,2,0,0,1,6,3,2,0,4,1,-5,1,3,0,3,1
2017-10-08 20:45:39,3,1,5,2,2,5,0,9,1,0,1,2,2,1,0,2,1,0,6,2,0,0,2,3,3,2,1,0,0,2,1,3,1,0,1,5,2,2,0,2,0,1,0,1,1,4,7,8,6,1,0,4,1,1,2,3,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,1,1,4,5,0,7,1,3,1,0,6,4,2,5,0,0,7,1,6,1,1,1,1,1,0,0,3,1,0,0,0,2,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,3,1,0,0,1,0,1,1,12,3,3,6,2,4,7,3,3,1,6,0,4,0,2,0,-5,0,0,0,1,1,0,3,0,1,5,2,1,6,3,-5,1,0,4,4,0,5,1,2,3,0,2,2,5,3,1,5,6,1,1,2,7,2,1,1,4,-5,3,2,3,0,6,8,2,0,6,0,5,0,1,3,0,2,3,3,3,2,8,6,3,1,8,0,6,5,0,5,0,0,0,0,1,1,5,1,2,0,0,2,6,3,2,0,4,1,-5,1,3,0,3,1
2017-10-08 20:47:39,3,1,5,2,2,5,0,9,1,0,1,2,2,1,0,2,1,0,6,2,0,1,2,3,3,2,1,0,0,2,1,3,1,0,1,5,2,2,0,2,1,1,0,1,1,4,7,8,6,1,0,4,1,1,2,3,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,6,1,4,5,0,7,1,3,1,0,6,4,2,5,0,0,7,1,6,1,1,1,1,1,0,0,3,1,0,0,0,2,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,3,1,0,0,1,0,1,1,12,3,3,6,2,4,6,3,3,1,7,0,4,0,2,0,-5,0,0,0,1,0,0,3,0,1,5,2,1,5,3,-5,1,0,4,4,0,5,1,2,3,0,2,2,5,3,1,5,6,1,1,2,7,2,1,1,3,-5,3,2,3,0,6,8,2,0,6,0,5,0,1,3,0,2,3,3,3,2,8,6,4,1,8,0,6,5,0,5,0,0,0,0,1,1,5,1,2,1,0,2,6,4,2,0,4,1,5,1,4,0,3,1
2017-10-08 20:49:39,3,1,5,2,2,5,0,9,1,0,1,2,2,1,0,2,1,0,6,2,0,1,2,3,3,2,1,0,-5,2,1,3,1,0,1,6,2,2,0,2,1,1,0,1,1,4,7,8,6,1,0,4,1,1,2,3,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,6,1,4,5,0,7,1,3,1,0,6,4,2,5,0,0,6,1,6,1,1,1,1,1,0,0,4,1,0,0,0,2,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,3,1,0,0,1,0,1,1,12,3,3,6,2,4,7,3,3,1,7,0,4,0,2,0,-5,0,0,0,1,0,0,3,0,1,5,2,1,5,3,-5,1,0,4,4,0,5,1,2,3,0,2,2,5,3,1,5,6,1,1,2,7,2,1,1,3,-5,3,3,3,0,6,8,2,0,6,0,5,0,1,3,0,2,3,3,3,2,8,6,3,1,8,0,6,5,0,5,0,0,0,0,1,1,5,1,2,1,0,2,7,4,2,0,4,1,5,1,4,0,3,1
2017-10-08 20:51:39,3,1,5,2,2,5,0,9,1,0,1,2,2,1,0,2,1,0,6,2,0,1,2,3,3,2,1,0,0,2,1,3,1,0,1,6,2,2,0,2,1,1,0,1,1,4,7,8,6,1,0,4,1,1,2,3,2,0,1,4,4,4,7,2,0,2,1,2,5,1,6,6,1,4,5,0,7,1,3,1,0,6,4,1,5,0,0,6,1,6,1,1,1,1,1,0,0,4,1,0,0,0,2,2,2,3,3,2,0,0,4,1,0,2,0,3,5,0,3,1,0,0,1,0,1,1,12,3,3,6,2,4,7,3,3,1,7,0,4,0,2,0,-5,0,0,1,1,0,0,1,0,1,5,2,1,5,3,-5,1,0,4,1,0,5,1,2,3,0,2,2,5,3,1,5,6,1,1,1,7,2,1,1,3,-5,3,5,3,0,6,8,2,0,6,0,5,0,1,3,0,2,3,3,3,2,8,6,3,1,8,0,6,5,0,5,0,0,0,0,1,1,5,1,2,1,0,2,7,4,2,0,4,1,5,1,4,0,3,1
